,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
233,40.7109,-74.0171,2,15,2,0,1,3,0
234,40.6716,-73.9496,4,1,0,0,5,0,0
235,40.7647,-73.988,1,0,7,2,6,7,0
236,40.7552,-73.9733,1,7,7,2,3,7,0
237,40.7233,-73.9957,3,14,2,0,4,1,0
238,40.7269,-73.9856,2,7,2,0,4,1,0
240,40.6785,-73.9791,3,19,0,0,6,0,0
241,40.7539,-73.9759,1,21,7,2,1,7,0
242,40.7143,-74.0079,3,12,2,0,4,3,0
243,40.7283,-73.9944,3,8,2,0,1,1,0
244,40.7225,-73.9976,2,10,2,0,1,3,0
245,40.6984,-73.9926,3,21,0,0,3,0,0
246,40.759,-73.9869,1,22,7,2,1,7,0
247,40.7226,-74.0105,1,8,2,0,0,3,0
248,40.7713,-73.9494,2,9,1,2,2,2,0
249,40.7248,-74.0077,1,16,2,0,2,3,0
250,40.7823,-73.9804,0,6,1,2,3,7,0
251,40.7049,-74.0121,1,20,2,0,0,3,0
252,40.6394,-73.958,3,9,0,0,1,0,0
254,40.7334,-73.9592,3,9,7,0,5,5,0
255,40.7559,-73.9807,3,3,7,2,3,7,0
256,40.7376,-74.0081,1,22,2,0,1,4,0
257,40.6803,-73.9761,3,3,0,0,6,0,0
259,40.7453,-73.9724,3,22,7,2,6,7,0
260,40.6939,-73.9992,3,14,2,0,6,0,0
261,40.7405,-73.9861,1,14,7,2,3,4,0
262,40.7338,-73.9928,1,15,2,0,0,1,0
263,40.6886,-73.9428,3,3,0,0,0,5,0
265,40.7554,-73.9768,1,21,7,2,1,7,0
266,40.7478,-73.9752,1,14,7,2,3,7,0
268,40.7644,-73.9687,2,18,7,2,2,7,0
269,40.7658,-73.981,2,14,7,2,1,7,0
271,40.7408,-74.0049,3,22,2,0,3,4,0
272,40.7239,-73.9922,3,8,2,0,0,1,0
273,40.7459,-74.0099,2,10,2,0,4,4,0
274,40.7646,-73.97,0,19,7,2,3,7,0
275,40.7263,-73.9894,3,18,2,0,5,1,0
276,40.7486,-74.0302,0,1,2,0,6,4,0
277,40.7813,-73.9801,3,17,1,2,0,7,0
278,40.7512,-73.9941,2,0,7,2,6,4,0
279,40.7443,-73.9876,1,21,7,2,5,4,0
280,40.7257,-73.994,1,15,2,0,0,1,0
282,40.7651,-73.9908,3,21,7,2,5,7,0
283,40.7639,-73.9733,1,20,7,2,1,7,0
284,40.7354,-73.9748,3,17,7,0,6,1,0
285,40.7558,-73.9725,4,20,7,2,4,7,0
286,40.772,-73.9555,2,6,1,2,0,2,0
287,40.7325,-73.9767,2,8,7,0,1,1,0
288,40.7515,-73.9761,1,16,7,2,4,7,0
289,40.7454,-73.982,1,12,7,2,6,4,0
290,40.7339,-73.9907,3,6,2,0,4,1,0
292,40.7649,-73.9787,1,14,7,2,2,7,0
293,40.754,-73.9805,2,20,7,2,0,7,0
